run_id,claim_name,adapter_name,adapter_label,metric,status,point,ci95_low,ci95_high,groups,rows,iterations
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,BFCL_core_accuracy,complete,0.7133333333333334,0.6633333333333333,0.7666666666666667,300,300,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,When2Call_behavior_accuracy,complete,0.5666666666666667,0.51,0.6266666666666667,300,300,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,When2Call_macro_F1,complete,0.4765297500820921,0.4341459371044977,0.5205241689464465,300,300,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7777777777777778,0.7321937321937322,0.8205128205128205,351,351,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.826,0.792,0.86,500,500,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.3416666666666667,0.305,0.37666666666666665,600,600,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.84,0.77,0.91,100,100,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.84,0.77,0.91,100,100,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.95,0.9,0.99,100,100,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7295597484276729,0.6644736842105263,0.7911392405063291,100,100,1000
r028,noised_gold_clean_3k,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.55,0.46,0.65,100,100,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.6933333333333334,0.6366666666666667,0.7433333333333333,300,300,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.5766666666666667,0.52,0.6333333333333333,300,300,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,When2Call_macro_F1,complete,0.47945062669076555,0.4361639559862763,0.5192643699248252,300,300,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7521367521367521,0.7065527065527065,0.7977207977207977,351,351,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.814,0.778,0.846,500,500,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,strict_parse_success,complete,0.9715099715099715,0.9544159544159544,0.9857549857549858,351,351,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,nontrivial_error_rate,complete,0.3466666666666667,0.30666666666666664,0.38333333333333336,600,600,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,FunctionChat_argument_accuracy,complete,0.85,0.77,0.92,100,100,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,FunctionChat_output_type_accuracy,complete,0.85,0.77,0.91,100,100,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,FunctionChat_function_name_accuracy,complete,0.94,0.89,0.98,100,100,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,IFEval_instruction_accuracy,complete,0.7044025157232704,0.6369426751592356,0.7647058823529411,100,100,1000
r028,noised_gold_clean_3k,dpo_best_adapter,final,IFEval_prompt_strict_accuracy,complete,0.5,0.4,0.6,100,100,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,BFCL_core_accuracy,complete,0.68,0.63,0.7366666666666667,300,300,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,When2Call_behavior_accuracy,complete,0.6333333333333333,0.58,0.6866666666666666,300,300,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,When2Call_macro_F1,complete,0.5296360748883332,0.49058289485689954,0.5689434532708986,300,300,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7720797720797721,0.7264957264957265,0.8148148148148148,351,351,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.822,0.786,0.856,500,500,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.3,0.26166666666666666,0.33666666666666667,600,600,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.81,0.73,0.88,100,100,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.81,0.73,0.88,100,100,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.92,0.86,0.97,100,100,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7232704402515723,0.65,0.7904191616766467,100,100,1000
r029,behavior_clean_3k_from_r027b,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.56,0.46,0.66,100,100,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.66,0.6,0.7133333333333334,300,300,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.64,0.5833333333333334,0.6966666666666667,300,300,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,When2Call_macro_F1,complete,0.5277754413117107,0.4886828125749252,0.568658360649976,300,300,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7663817663817664,0.7236467236467237,0.8091168091168092,351,351,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.81,0.774,0.842,500,500,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,nontrivial_error_rate,complete,0.2916666666666667,0.25333333333333335,0.325,600,600,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,FunctionChat_argument_accuracy,complete,0.8,0.72,0.88,100,100,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,FunctionChat_output_type_accuracy,complete,0.8,0.71,0.87,100,100,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,FunctionChat_function_name_accuracy,complete,0.9,0.84,0.96,100,100,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,IFEval_instruction_accuracy,complete,0.7169811320754716,0.6447368421052632,0.782051282051282,100,100,1000
r029,behavior_clean_3k_from_r027b,dpo_best_adapter,final,IFEval_prompt_strict_accuracy,complete,0.54,0.44,0.63,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,BFCL_core_accuracy,complete,0.71,0.6533333333333333,0.7633333333333333,300,300,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,When2Call_behavior_accuracy,complete,0.5766666666666667,0.52,0.6333333333333333,300,300,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,When2Call_macro_F1,complete,0.48203144003800225,0.44288964579012385,0.5235247989005214,300,300,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7834757834757835,0.7378917378917379,0.8262108262108262,351,351,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.83,0.798,0.86,500,500,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.3383333333333333,0.3,0.37666666666666665,600,600,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.84,0.76,0.91,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.84,0.76,0.9,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.95,0.9,0.99,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7295597484276729,0.6556291390728477,0.79375,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.55,0.45,0.65,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.6966666666666667,0.64,0.75,300,300,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.5933333333333334,0.5433333333333333,0.65,300,300,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,When2Call_macro_F1,complete,0.4867582417582418,0.4447733034075083,0.5233463217626362,300,300,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7008547008547008,0.6552706552706553,0.7492877492877493,351,351,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.776,0.74,0.812,500,500,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,strict_parse_success,complete,0.9259259259259259,0.8974358974358975,0.9515669515669516,351,351,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,nontrivial_error_rate,complete,0.3333333333333333,0.2966666666666667,0.37166666666666665,600,600,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_argument_accuracy,complete,0.85,0.77,0.92,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_output_type_accuracy,complete,0.85,0.78,0.91,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_function_name_accuracy,complete,0.94,0.89,0.98,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,IFEval_instruction_accuracy,complete,0.6981132075471698,0.6333333333333333,0.7619047619047619,100,100,1000
s3d001,noised_gold_unfiltered_3k_control,dpo_best_adapter,final,IFEval_prompt_strict_accuracy,complete,0.51,0.41,0.61,100,100,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,BFCL_core_accuracy,complete,0.6833333333333333,0.6266666666666667,0.7366666666666667,300,300,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,When2Call_behavior_accuracy,complete,0.6266666666666667,0.5733333333333334,0.6833333333333333,300,300,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,When2Call_macro_F1,complete,0.5240981760289158,0.4849973120000738,0.5623417140543798,300,300,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7720797720797721,0.7264957264957265,0.8148148148148148,351,351,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.824,0.792,0.854,500,500,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.30833333333333335,0.2733333333333333,0.345,600,600,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.81,0.72,0.88,100,100,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.81,0.73,0.89,100,100,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.92,0.86,0.97,100,100,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7232704402515723,0.6474358974358975,0.7904191616766467,100,100,1000
s3d002,behavior_unfiltered_3k_control,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.56,0.46,0.66,100,100,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.6633333333333333,0.6066666666666667,0.7166666666666667,300,300,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.64,0.5866666666666667,0.6933333333333334,300,300,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,When2Call_macro_F1,complete,0.5291562444166518,0.4905984864791411,0.566572140155901,300,300,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7692307692307693,0.7264957264957265,0.811965811965812,351,351,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.81,0.776,0.844,500,500,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,nontrivial_error_rate,complete,0.295,0.26,0.33,600,600,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_argument_accuracy,complete,0.8,0.71,0.87,100,100,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_output_type_accuracy,complete,0.8,0.72,0.87,100,100,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_function_name_accuracy,complete,0.9,0.84,0.95,100,100,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,IFEval_instruction_accuracy,complete,0.7232704402515723,0.656441717791411,0.783625730994152,100,100,1000
s3d002,behavior_unfiltered_3k_control,dpo_best_adapter,final,IFEval_prompt_strict_accuracy,complete,0.54,0.44,0.63,100,100,1000
