comparison,a_run,b_run,a_adapter,b_adapter,metric,status,point_delta,ci95_low,ci95_high,groups,iterations
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,BFCL_core_accuracy,complete,0.0033333333333334103,0.0,0.010791366906474864,1100,1000
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,When2Call_behavior_accuracy,complete,-0.010000000000000009,-0.022950819672131084,0.0,1100,1000
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,When2Call_macro_F1,complete,-0.005501689955910161,-0.014910088465275306,0.0008401147049755808,1100,1000
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,tool_call_accuracy_on_sft_dev,complete,-0.005698005698005715,-0.014367816091954033,0.0,1100,1000
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,behavior_accuracy_on_sft_dev,complete,-0.0040000000000000036,-0.010245901639344246,0.0,1100,1000
clean_vs_unfiltered_step50,r028,s3d001,step50,step50,nontrivial_error_rate,complete,0.003333333333333355,-0.003361344537815114,0.010291595197255587,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,BFCL_core_accuracy,complete,-0.0033333333333332993,-0.014869888475836479,0.006779661016949157,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,When2Call_behavior_accuracy,complete,0.006666666666666599,-0.009740259740259827,0.023333333333333428,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,When2Call_macro_F1,complete,0.005537898859417356,-0.00827615304619822,0.018058472315438223,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,tool_call_accuracy_on_sft_dev,complete,0.0,0.0,0.0,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,behavior_accuracy_on_sft_dev,complete,-0.0020000000000000018,-0.006329113924050667,0.0,1100,1000
clean_vs_unfiltered_step50,r029,s3d002,step50,step50,nontrivial_error_rate,complete,-0.00833333333333336,-0.017799352750809072,0.0,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,BFCL_core_accuracy,complete,-0.0033333333333332993,-0.014234875444839812,0.006968641114982521,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,When2Call_behavior_accuracy,complete,-0.01666666666666672,-0.03202846975088969,-0.003355704697986628,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,When2Call_macro_F1,complete,-0.007307615067476236,-0.020103189492320928,0.0035829314432671566,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,strict_parse_success,complete,0.04558404558404561,0.02409638554216864,0.06925207756232687,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,tool_call_accuracy_on_sft_dev,complete,0.05128205128205132,0.026011560693641633,0.07602339181286555,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,behavior_accuracy_on_sft_dev,complete,0.03799999999999992,0.020449897750511314,0.05719921104536485,1100,1000
clean_vs_unfiltered_final,r028,s3d001,final,final,nontrivial_error_rate,complete,0.013333333333333364,0.005008347245408995,0.024096385542168697,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,BFCL_core_accuracy,complete,-0.0033333333333332993,-0.010600706713780883,0.0,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,When2Call_behavior_accuracy,complete,0.0,-0.009868421052631526,0.009646302250803873,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,When2Call_macro_F1,complete,-0.0013808031049410419,-0.010995553833687777,0.006943472428775577,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,tool_call_accuracy_on_sft_dev,complete,-0.002849002849002913,-0.009090909090909038,0.0,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,behavior_accuracy_on_sft_dev,complete,0.0,-0.006000000000000005,0.006036217303822866,1100,1000
clean_vs_unfiltered_final,r029,s3d002,final,final,nontrivial_error_rate,complete,-0.0033333333333332993,-0.01010101010101011,0.0033167495854062867,1100,1000
step50_vs_final,r028,r028,step50,final,BFCL_core_accuracy,complete,0.020000000000000018,0.0030674846625767804,0.038461538461538436,1100,1000
step50_vs_final,r028,r028,step50,final,When2Call_behavior_accuracy,complete,-0.010000000000000009,-0.035598705501618144,0.012987012987012991,1100,1000
step50_vs_final,r028,r028,step50,final,When2Call_macro_F1,complete,-0.0029208766086734617,-0.02098264863434751,0.013933210384042605,1100,1000
step50_vs_final,r028,r028,step50,final,strict_parse_success,complete,0.019943019943019946,0.005917159763313529,0.03550295857988173,1100,1000
