run_id,checkpoint,metric_source,metric,score
r028,step50,primary,BFCL_category_accuracy.live_multiple,0.7333333333333333
r004,sft_best,primary,BFCL_category_accuracy.live_multiple,0.7166666666666667
r028,step50,primary,BFCL_category_accuracy.multiple,0.9333333333333333
r004,sft_best,primary,BFCL_category_accuracy.multiple,0.9166666666666666
r028,step50,primary,BFCL_category_accuracy.parallel,0.8666666666666667
r004,sft_best,primary,BFCL_category_accuracy.parallel,0.6166666666666667
r028,step50,primary,BFCL_category_accuracy.relevance,0.1
r004,sft_best,primary,BFCL_category_accuracy.relevance,0.13333333333333333
r028,step50,primary,BFCL_category_accuracy.simple,0.9333333333333333
r004,sft_best,primary,BFCL_category_accuracy.simple,0.95
r028,step50,primary,BFCL_core_accuracy,0.7133333333333334
r004,sft_best,primary,BFCL_core_accuracy,0.6666666666666666
r028,step50,primary,When2Call_behavior_accuracy,0.5666666666666667
r004,sft_best,primary,When2Call_behavior_accuracy,0.5733333333333334
r028,step50,primary,When2Call_f1_by_class.direct_answer,0.0
r004,sft_best,primary,When2Call_f1_by_class.direct_answer,0.0
r028,step50,primary,When2Call_f1_by_class.follow_up,0.47407407407407415
r004,sft_best,primary,When2Call_f1_by_class.follow_up,0.4782608695652174
r028,step50,primary,When2Call_f1_by_class.tool_call,0.6690391459074733
r004,sft_best,primary,When2Call_f1_by_class.tool_call,0.6886446886446885
r028,step50,primary,When2Call_f1_by_class.unable,0.7630057803468209
r004,sft_best,primary,When2Call_f1_by_class.unable,0.7570621468926553
r028,step50,primary,When2Call_macro_F1,0.4765297500820921
r004,sft_best,primary,When2Call_macro_F1,0.4809919262756403
r028,step50,primary,behavior_accuracy_on_sft_dev,0.826
r004,sft_best,primary,behavior_accuracy_on_sft_dev,0.81
r028,step50,primary,nontrivial_error_rate,0.3416666666666667
r004,sft_best,primary,nontrivial_error_rate,0.36
r028,step50,primary,permissive_parse_success,1.0
r004,sft_best,primary,permissive_parse_success,1.0
r028,step50,primary,schema_validity,1.0
r004,sft_best,primary,schema_validity,1.0
r028,step50,primary,strict_parse_success,0.9914529914529915
r004,sft_best,primary,strict_parse_success,0.9629629629629629
r028,step50,primary,tool_call_accuracy_on_sft_dev,0.7777777777777778
r004,sft_best,primary,tool_call_accuracy_on_sft_dev,0.7549857549857549
r028,step50,secondary,functionchat_bench.argument_accuracy,0.84
r004,sft_best,secondary,functionchat_bench.argument_accuracy,0.83
r028,step50,secondary,functionchat_bench.function_name_accuracy,0.95
r004,sft_best,secondary,functionchat_bench.function_name_accuracy,0.95
r028,step50,secondary,functionchat_bench.output_type_accuracy,0.84
r004,sft_best,secondary,functionchat_bench.output_type_accuracy,0.83
r028,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
r004,sft_best,secondary,functionchat_bench.tool_hallucination_rate,0.0
r028,step50,secondary,ifeval_style.instruction_level_accuracy,0.7295597484276729
r004,sft_best,secondary,ifeval_style.instruction_level_accuracy,0.7672955974842768
r028,step50,secondary,ifeval_style.prompt_level_strict_accuracy,0.5729166666666666
r004,sft_best,secondary,ifeval_style.prompt_level_strict_accuracy,0.6354166666666666
r028,final,primary,BFCL_category_accuracy.live_multiple,0.7333333333333333
r028,final,primary,BFCL_category_accuracy.multiple,0.9166666666666666
r028,final,primary,BFCL_category_accuracy.parallel,0.85
r028,final,primary,BFCL_category_accuracy.relevance,0.03333333333333333
r028,final,primary,BFCL_category_accuracy.simple,0.9333333333333333
r028,final,primary,BFCL_core_accuracy,0.6933333333333334
r028,final,primary,When2Call_behavior_accuracy,0.5766666666666667
r028,final,primary,When2Call_f1_by_class.direct_answer,0.0
r028,final,primary,When2Call_f1_by_class.follow_up,0.4714285714285714
r028,final,primary,When2Call_f1_by_class.tool_call,0.6762589928057553
r028,final,primary,When2Call_f1_by_class.unable,0.7701149425287356
r028,final,primary,When2Call_macro_F1,0.47945062669076555
r028,final,primary,behavior_accuracy_on_sft_dev,0.814
r028,final,primary,nontrivial_error_rate,0.3466666666666667
r028,final,primary,permissive_parse_success,1.0
r028,final,primary,schema_validity,1.0
r028,final,primary,strict_parse_success,0.9715099715099715
r028,final,primary,tool_call_accuracy_on_sft_dev,0.7521367521367521
r028,final,secondary,functionchat_bench.argument_accuracy,0.85
r028,final,secondary,functionchat_bench.function_name_accuracy,0.94
r028,final,secondary,functionchat_bench.output_type_accuracy,0.85
r028,final,secondary,functionchat_bench.tool_hallucination_rate,0.0
r028,final,secondary,ifeval_style.instruction_level_accuracy,0.7044025157232704
r028,final,secondary,ifeval_style.prompt_level_strict_accuracy,0.5208333333333334
r029,step50,primary,BFCL_category_accuracy.live_multiple,0.65
r029,step50,primary,BFCL_category_accuracy.multiple,0.9
r029,step50,primary,BFCL_category_accuracy.parallel,0.8666666666666667
r029,step50,primary,BFCL_category_accuracy.relevance,0.05
r029,step50,primary,BFCL_category_accuracy.simple,0.9333333333333333
r029,step50,primary,BFCL_core_accuracy,0.68
r029,step50,primary,When2Call_behavior_accuracy,0.6333333333333333
r029,step50,primary,When2Call_f1_by_class.direct_answer,0.0
r029,step50,primary,When2Call_f1_by_class.follow_up,0.6440677966101694
r029,step50,primary,When2Call_f1_by_class.tool_call,0.7302904564315353
r029,step50,primary,When2Call_f1_by_class.unable,0.7441860465116279
r029,step50,primary,When2Call_macro_F1,0.5296360748883332
r029,step50,primary,behavior_accuracy_on_sft_dev,0.822
r029,step50,primary,nontrivial_error_rate,0.3
r029,step50,primary,permissive_parse_success,1.0
r029,step50,primary,schema_validity,1.0
r029,step50,primary,strict_parse_success,0.9914529914529915
r029,step50,primary,tool_call_accuracy_on_sft_dev,0.7720797720797721
r029,step50,secondary,functionchat_bench.argument_accuracy,0.81
r029,step50,secondary,functionchat_bench.function_name_accuracy,0.92
r029,step50,secondary,functionchat_bench.output_type_accuracy,0.81
r029,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
r029,step50,secondary,ifeval_style.instruction_level_accuracy,0.7232704402515723
r029,step50,secondary,ifeval_style.prompt_level_strict_accuracy,0.5833333333333334
r029,final,primary,BFCL_category_accuracy.live_multiple,0.6666666666666666
r029,final,primary,BFCL_category_accuracy.multiple,0.8666666666666667
r029,final,primary,BFCL_category_accuracy.parallel,0.8
r029,final,primary,BFCL_category_accuracy.relevance,0.03333333333333333
r029,final,primary,BFCL_category_accuracy.simple,0.9333333333333333
r029,final,primary,BFCL_core_accuracy,0.66
r029,final,primary,When2Call_behavior_accuracy,0.64
r029,final,primary,When2Call_f1_by_class.direct_answer,0.0
