run_id,checkpoint,metric_source,metric,delta_vs_r004
r028,step50,primary,BFCL_category_accuracy.live_multiple,0.016666666666666607
r028,step50,primary,BFCL_category_accuracy.multiple,0.01666666666666672
r028,step50,primary,BFCL_category_accuracy.parallel,0.25
r028,step50,primary,BFCL_category_accuracy.relevance,-0.033333333333333326
r028,step50,primary,BFCL_category_accuracy.simple,-0.016666666666666607
r028,step50,primary,BFCL_core_accuracy,0.046666666666666745
r028,step50,primary,When2Call_behavior_accuracy,-0.00666666666666671
r028,step50,primary,When2Call_f1_by_class.direct_answer,0.0
r028,step50,primary,When2Call_f1_by_class.follow_up,-0.004186795491143258
r028,step50,primary,When2Call_f1_by_class.tool_call,-0.019605542737215265
r028,step50,primary,When2Call_f1_by_class.unable,0.005943633454165598
r028,step50,primary,When2Call_macro_F1,-0.004462176193548217
r028,step50,primary,behavior_accuracy_on_sft_dev,0.015999999999999903
r028,step50,primary,nontrivial_error_rate,-0.018333333333333313
r028,step50,primary,permissive_parse_success,0.0
r028,step50,primary,schema_validity,0.0
r028,step50,primary,strict_parse_success,0.028490028490028574
r028,step50,primary,tool_call_accuracy_on_sft_dev,0.02279202279202286
r028,step50,secondary,functionchat_bench.argument_accuracy,0.010000000000000009
r028,step50,secondary,functionchat_bench.function_name_accuracy,0.0
r028,step50,secondary,functionchat_bench.output_type_accuracy,0.010000000000000009
r028,step50,secondary,functionchat_bench.tool_hallucination_rate,0.0
r028,step50,secondary,ifeval_style.instruction_level_accuracy,-0.037735849056603876
r028,step50,secondary,ifeval_style.prompt_level_strict_accuracy,-0.0625
r028,final,primary,BFCL_category_accuracy.live_multiple,0.016666666666666607
r028,final,primary,BFCL_category_accuracy.multiple,0.0
r028,final,primary,BFCL_category_accuracy.parallel,0.23333333333333328
r028,final,primary,BFCL_category_accuracy.relevance,-0.1
r028,final,primary,BFCL_category_accuracy.simple,-0.016666666666666607
r028,final,primary,BFCL_core_accuracy,0.026666666666666727
r028,final,primary,When2Call_behavior_accuracy,0.0033333333333332993
r028,final,primary,When2Call_f1_by_class.direct_answer,0.0
r028,final,primary,When2Call_f1_by_class.follow_up,-0.006832298136645987
r028,final,primary,When2Call_f1_by_class.tool_call,-0.01238569583893323
r028,final,primary,When2Call_f1_by_class.unable,0.013052795636080305
r028,final,primary,When2Call_macro_F1,-0.0015412995848747557
