run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,prompt_level_strict,passed_instruction_count,supported_instruction_count,unsupported_instruction_count,generated_sha256,generation_input_tokens,generation_output_tokens
r029,final,IFEval,ifeval_style,instruction_following,ifeval:0,568d9f87e12172fe23bba70a40f757162ac473d8f8cce6862604ba69853f82d3,False,1,3,0,73dca95e5ff47a6c76f97c2e0ad952b70d37f98712a490e27ade28faa8a80602,89,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:1,9afd3974a97dce68f083f36f390aaf6b5668b134a341150d2ff7b75584a3494a,True,1,1,0,f8093c4b399ff87705a80ca5a726df775e2bd9fdf596ca3847f8879e349f24a2,50,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:2,42349354adf5ed8c125309c94b0dbf50f6a55e8a8381c89177dae605c4fa30ee,True,1,1,0,3e7185a5199f7d8e234fcede88867322877bd6d90d758621603df5ee42285de0,51,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:3,af0af45c82f12871ce2d74c46d39bd63e68dda332b2dc4799b631674cd9f7eeb,False,1,2,0,5b0b03567f6e39de93e5c1ad2aa8b5325ce2de83090612e9e5a7f64e2c910dec,88,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:4,3e68d6ffa924607fb0a5581583b3b62fd83f497221542eff8e08fbdee5ab0bb9,True,1,1,0,04b983c9a9702193ef790b754a27b1dc51c1fb3798e133b3b4c341d054d6d08b,52,303
r029,final,IFEval,ifeval_style,instruction_following,ifeval:5,967a0cc5458cbdf19c4a071581dbbe4593390b364d662844d43847f8375e6088,True,1,1,0,63c6c79eda8d1d54cd4024109966f718b455641c96a950ae47a6a738358ace94,85,303
r029,final,IFEval,ifeval_style,instruction_following,ifeval:6,8fae48ebac6ef80ed57f79f9dc0ab60dc733f0c0931e57b9b04da98a14ee371c,True,2,2,0,8646afb57fd126eacbf5d770859a90e2ec0664fe89679063f3354bcf8df91754,54,303
r029,final,IFEval,ifeval_style,instruction_following,ifeval:7,5a4c6eac29ec8d1d25e8ada5c34a9d03d7ad475a4a42d20c3f409b182ae04ae5,False,2,3,0,23d5805ff8ee6c1e279d61aa07e24a0af0b019a7f2051d04d85196a575bf1863,58,303
r029,final,IFEval,ifeval_style,instruction_following,ifeval:8,a57019da358a4dc65c27c557aa24e97086e628787538425f9a14eec670545965,True,1,1,0,e970759efdf457a33643b1a39f8a2149e04caf6aa5871f89957c1c6c6ff13ee0,29,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:9,af6d86d9adfd5f2097146fad6f785d94eca428e22ea3358df6fbbb2566c2fbad,False,1,3,0,79f4238e3505c0729c81501cb0420a6b69cbf0b9c41778f3acecb1d9f7ec88ba,59,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:10,71a2322518fb82abe2be60af4c6aa95a0202883462ea3fc3429a924eb5a5f7fa,False,0,1,0,812c4ef52594d3e47e02130b86df99f1d85453fc85103915440230779ecf4976,34,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:11,2807abb2d5ffce2b5790a315e087490c8d7cac93d1316acc2a91e54b3bf35efa,False,0,1,0,0e66e77745f7fca7d26055eacb8b1f5709cdba70fb7200098fe22a711ae84105,47,384
r029,final,IFEval,ifeval_style,instruction_following,ifeval:12,4d7c79793a796f33cdc331221fe309fc5194ceb1ac4ffcc15288842e21aa4513,False,0,1,0,c7f62d868cbe58a12448a91801ca9c01c2ed85785a7617b6f52702d42a11ad6a,47,306
r029,final,IFEval,ifeval_style,instruction_following,ifeval:13,acf0bed34038ceed58369c5daa5a663b6e39ca9a2961d963864309e449d428e9,True,1,1,0,9b2239235ce7026936ece865bd2434467c44ec4179c639bde14240ec08ede374,41,306
r029,final,IFEval,ifeval_style,instruction_following,ifeval:14,482f4751333f434297bb137c0433b051546dabfc3dff93c8cb748b439e34c2e4,True,1,1,0,0f9580c4ff5370c03c34149a537b00498361afc5d2564868829dbadadad8601f,31,306
r029,final,IFEval,ifeval_style,instruction_following,ifeval:15,d8903759c046bc5acbb789b13f0a316d605498fbbc1d0eca3e459fecbebc380d,True,1,1,0,e22018d505c70f76a31be1440bd5a57ddeba9296d2950ee2bb59690b8958c797,47,306
